,Year,Region,January,February,March,April,May,June,July,August,September,October,November,December,Total Year (Region),Q1,Q2,Q3,Q4,Total Year (Worldwide),Total Year Percentage
0,1986,Americas,555850.0,633465.0,756220.0,689470.0,718336.0,797014.0,707784.0,697506.0,803392.0,702111.0,673104.0,774305.0,8508557.0,1945535.0,2204820.0,2208682.0,2149520.0,26355359.0,0.3228397306217684
1,1987,Americas,662316.0,695384.0,879953.0,783070.0,819071.0,934011.0,851790.0,875491.0,996212.0,896818.0,879017.0,986071.0,10259204.0,2237653.0,2536152.0,2723493.0,2761906.0,32530452.0,0.3153723163760528
2,1988,Americas,905615.0,960564.0,1128942.0,1016859.0,1081031.0,1248108.0,1119216.0,1162241.0,1276955.0,1122817.0,1162138.0,1233554.0,13418040.0,2995121.0,3345998.0,3558412.0,3518509.0,45004809.0,0.2981468047114698
3,1989,Americas,1111249.0,1206446.0,1370839.0,1245328.0,1233652.0,1361968.0,1153881.0,1184987.0,1339389.0,1187775.0,1208219.0,1225302.0,14829035.0,3688534.0,3840948.0,3678257.0,3621296.0,48762926.0,0.3041047003619102
4,1990,Americas,1055827.0,1107641.0,1326514.0,1145964.0,1193839.0,1317676.0,1130835.0,1229168.0,1335936.0,1206712.0,1182091.0,1213234.0,14445437.0,3489982.0,3657479.0,3695939.0,3602037.0,50518932.0,0.285941060670087
5,1991,Americas,1143298.0,1217353.0,1426972.0,1208734.0,1232198.0,1390279.0,1151781.0,1229369.0,1480484.0,1210419.0,1291194.0,1394192.0,15376273.0,3787623.0,3831211.0,3861634.0,3895805.0,54607454.0,0.2815782805036104
6,1992,Americas,1283004.0,1305160.0,1606288.0,1377033.0,1386386.0,1627983.0,1417599.0,1490870.0,1811903.0,1560184.0,1657251.0,1887095.0,18410756.0,4194452.0,4391402.0,4720372.0,5104530.0,59864958.0,0.307538109356061
7,1993,Americas,1576795.0,1783951.0,2201464.0,1815346.0,1898999.0,2379808.0,1854456.0,2039793.0,2539367.0,2015423.0,2136193.0,2502413.0,24744008.0,5562210.0,6094153.0,6433616.0,6654029.0,77309681.0,0.32006351183883425
8,1994,Americas,2195094.0,2336042.0,2775581.0,2508645.0,2514867.0,3051443.0,2462960.0,2825889.0,3425229.0,2986537.0,2962800.0,3516499.0,33561586.0,7306717.0,8074955.0,8714078.0,9465836.0,101878593.0,0.329427262506462
9,1995,Americas,2975184.0,3198121.0,3994742.0,3346810.0,3451050.0,4355697.0,3398858.0,3965714.0,4852650.0,4114971.0,4386548.0,4958117.0,46998462.0,10168047.0,11153557.0,12217222.0,13459636.0,144403681.0,0.3254658168997783
10,1996,Americas,3675343.0,3944980.0,4567057.0,3205334.0,3248067.0,3625373.0,2787850.0,3126662.0,3909092.0,3314033.0,3398109.0,3877116.0,42679016.0,12187380.0,10078774.0,9823604.0,10589258.0,131966432.0,0.3234081224534433
11,1997,Americas,3030591.0,3363775.0,4647195.0,3371540.0,3732943.0,4462311.0,3380788.0,3765124.0,4686234.0,3479007.0,3760475.0,4170911.0,45850894.0,11041561.0,11566794.0,11832146.0,11410393.0,137203120.0,0.3341825900169034
12,1998,Americas,3133805.0,3335998.0,3853748.0,3021827.0,2949506.0,3818223.0,2877577.0,3271366.0,4210405.0,3398594.0,3478136.0,4082741.0,41431926.0,10323551.0,9789556.0,10359348.0,10959471.0,125611999.0,0.32984051149444726
13,1999,Americas,3219522.0,3373861.0,4259443.0,3281477.0,3435805.0,4278314.0,3617796.0,3817852.0,4637938.0,4086671.0,4200511.0,5268690.0,47477880.0,10852826.0,10995596.0,12073586.0,13555872.0,149378551.0,0.31783599239759663
14,2000,Americas,4132023.0,4070165.0,5594723.0,4257407.0,4915747.0,6756937.0,4947587.0,5821267.0,6923671.0,4948717.0,4936959.0,6766156.0,64071359.0,13796911.0,15930091.0,17692525.0,16651832.0,204393623.0,0.3134704403179937
15,2001,Americas,3664548.0,3811278.0,4865580.0,2615034.0,2575637.0,3514163.0,1978417.0,2308767.0,3028710.0,2207125.0,2268857.0,2940332.0,35778448.0,12341406.0,8704834.0,7315894.0,7416314.0,138962610.0,0.2574681635585284
16,2002,Americas,2204457.0,2419266.0,3209539.0,2217146.0,2519930.0,3017547.0,2255203.0,2467481.0,3176114.0,2295235.0,2608932.0,2884627.0,31275477.0,7833262.0,7754623.0,7898798.0,7788794.0,140713320.0,0.222263798480485
17,2003,Americas,2180055.0,2257864.0,2938663.0,2142606.0,2501006.0,2959157.0,2203971.0,2667699.0,3382249.0,2760664.0,3022401.0,3314347.0,32330682.0,7376582.0,7602769.0,8253919.0,9097412.0,166425522.0,0.19426516805517366
18,2004,Americas,2467532.0,3012035.0,3748837.0,2813374.0,3030899.0,4019400.0,2834985.0,3398409.0,4028203.0,3093517.0,3228716.0,3388643.0,39064550.0,9228404.0,9863673.0,10261597.0,9710876.0,213026836.0,0.18337853921841096
19,2005,Americas,2981900.0,3056434.0,3702744.0,2915431.0,3007818.0,3599324.0,2795789.0,3330615.0,4216786.0,3237951.0,3724965.0,4165834.0,40735591.0,9741078.0,9522573.0,10343190.0,11128750.0,227484137.0,0.1790700289576675
20,2006,Americas,3238899.0,3749786.0,4212716.0,2827869.0,3533626.0,4266343.0,3295264.0,3913696.0,4469062.0,3589107.0,3850752.0,3964785.0,44911905.0,11201401.0,10627838.0,11678022.0,11404644.0,247716193.0,0.18130387220992047
21,2007,Americas,3306741.0,2968395.0,3750347.0,3064006.0,3216766.0,3648920.0,3572380.0,3528971.0,4315234.0,3731363.0,3429061.0,3804099.0,42336283.0,10025483.0,9929692.0,11416585.0,10964523.0,255645338.0,0.1656055351183443
22,2008,Americas,3100604.0,2877532.0,3984607.0,3076190.0,3070677.0,4060136.0,2910958.0,2990409.0,3719854.0,2908989.0,2609885.0,2570700.0,37880541.0,9962743.0,10207003.0,9621221.0,8089574.0,248602812.0,0.1523737430612812
23,2009,Americas,2427384.0,2331771.0,2966882.0,2646156.0,2757266.0,3431831.0,3137376.0,3301314.0,4019742.0,3714890.0,3924271.0,3860935.0,38519818.0,7726037.0,8835253.0,10458432.0,11500096.0,226313366.0,0.17020566960238664
24,2010,Americas,3551756.0,3677112.0,4671398.0,3983738.0,4482195.0,5224489.0,4482542.0,4749066.0,5135133.0,4485400.0,4494515.0,4738005.0,53675349.0,11900266.0,13690422.0,14366741.0,13717920.0,298315115.0,0.17992835864183415
25,2011,Americas,4836916.0,4262842.0,5083462.0,4398007.0,4403388.0,5300690.0,4201157.0,4235088.0,5391839.0,4377263.0,3986315.0,4720447.0,55197414.0,14183220.0,14102085.0,13828084.0,13084025.0,299521338.0,0.18428541475065124
26,2012,Americas,4251913.0,4253697.0,4852072.0,4565408.0,3995239.0,4355960.0,4042116.0,4125300.0,5082619.0,5117070.0,4856400.0,4861009.0,54358803.0,13357682.0,12916607.0,13250035.0,14834479.0,291562116.0,0.1864398699864011
27,2013,Americas,4588684.0,3964858.0,4605110.0,4504559.0,4695936.0,5088799.0,5276950.0,5203487.0,6168151.0,5769260.0,5686117.0,5943590.0,61495501.0,13158652.0,14289294.0,16648588.0,17398967.0,305583864.0,0.20123935928763567
28,2014,Americas,5147459.0,4863549.0,5229275.0,4903629.0,5012949.0,5803857.0,5597133.0,5926494.0,6650011.0,6654691.0,6282068.0,7252719.0,69323834.0,15240283.0,15720435.0,18173638.0,20189478.0,335842917.0,0.2064174365183947
29,2015,Americas,5991437.0,5446663.0,5977805.0,5413064.0,5475446.0,5710841.0,5357005.0,5734288.0,6378976.0,6032594.0,5785315.0,5434501.0,68737935.0,17415905.0,16599351.0,17470269.0,17252410.0,335167861.0,0.20508510211842776
30,2016,Americas,5015519.0,4645417.0,5013270.0,4688167.0,4672037.0,5458764.0,5181088.0,5655510.0,6217760.0,6305529.0,6232739.0,6451697.0,65537497.0,14674206.0,14818968.0,17054358.0,18989965.0,338930855.0,0.19336539011769818
31,2017,Americas,5730781.0,5807315.0,6350709.0,6087358.0,6360910.0,7313536.0,7153867.0,8184862.0,8644358.0,8792787.0,8860372.0,9206668.0,88493523.0,17888805.0,19761804.0,23983087.0,26859827.0,412220944.0,0.21467498022128637
32,2018,Americas,7816739.0,7735375.0,8717938.0,8019027.0,7996382.0,9017943.0,8168704.0,9296113.0,11039817.0,9207248.0,8501628.0,7480283.0,102997197.0,24270052.0,25033352.0,28504634.0,25189159.0,468778285.0,0.2197140957585098
33,2019,Americas,5950687.0,5649028.0,6554652.0,5366282.0,5835030.0,6477186.0,5964352.0,6763966.0,7472681.0,7685707.0,7395197.0,7504703.0,78619471.0,18154367.0,17678498.0,20200999.0,22585607.0,412306976.0,0.19068188407270606
34,2020,Americas,7208217.0,7164971.0,7741609.0,6914549.0,7428932.0,8548798.0,7141254.0,7965060.0,8954991.0,8584019.0,9244994.0,8468687.0,95366081.0,22114797.0,22892279.0,24061305.0,26297700.0,440389358.0,0.2165494675736465
35,2021,Americas,7962853.0,7944497.0,8713428.0,8577456.0,9425094.0,10112446.0,9867186.0,10999640.0,11469892.0,10637996.0,12494591.0,13276254.0,121481333.0,24620778.0,28114996.0,32336718.0,36408841.0,555892514.0,0.21853385311103507
36,2022,Americas,10219295.0,11533221.0,12738970.0,11625499.0,12613681.0,12100136.0,10804439.0,11522933.0,13774165.0,11688909.0,11057371.0,11457333.0,141135952.0,34491486.0,36339316.0,36101537.0,34203613.0,574084194.0,0.2458453890127482
37,2023,Americas,,,,,,,,,,,,,,,,,0.0,,
