,Year,Region,January,February,March,April,May,June,July,August,September,October,November,December,Total Year (Region),Q1,Q2,Q3,Q4,Total Year (Worldwide),Total Year Percentage
0,1986,Asia Pacific,105050.0,115746.0,147968.0,156420.0,167537.0,185026.0,186067.0,187628.0,208132.0,196243.0,191042.0,205455.0,2052314.0,368764.0,508983.0,581827.0,592740.0,26355359.0,0.07787084213119616
1,1987,Asia Pacific,189473.0,218174.0,258402.0,270392.0,285919.0,307717.0,299726.0,290902.0,300332.0,296872.0,304696.0,328760.0,3351365.0,666049.0,864028.0,890960.0,930328.0,32530452.0,0.10302239267994186
2,1988,Asia Pacific,333531.0,353147.0,425174.0,413350.0,417382.0,473157.0,449794.0,469838.0,503026.0,491929.0,519455.0,524330.0,5374113.0,1111852.0,1303889.0,1422658.0,1535714.0,45004809.0,0.11941197217390702
3,1989,Asia Pacific,452290.0,448872.0,534755.0,483634.0,487818.0,537878.0,468980.0,465634.0,516908.0,467975.0,471064.0,511758.0,5847566.0,1435917.0,1509330.0,1451522.0,1450797.0,48762926.0,0.11991827561783311
4,1990,Asia Pacific,424172.0,482574.0,570160.0,523270.0,564258.0,616154.0,582145.0,609515.0,669269.0,628863.0,605038.0,636326.0,6911744.0,1476906.0,1703682.0,1860929.0,1870227.0,50518932.0,0.13681492712474602
5,1991,Asia Pacific,567864.0,601440.0,689775.0,619630.0,659335.0,761638.0,668927.0,669731.0,773053.0,697074.0,713730.0,759125.0,8181322.0,1859079.0,2040603.0,2111711.0,2169929.0,54607454.0,0.1498206087396054
6,1992,Asia Pacific,720399.0,735101.0,848402.0,769133.0,846552.0,964585.0,844812.0,868982.0,1018271.0,912614.0,993549.0,1065256.0,10587656.0,2303902.0,2580270.0,2732065.0,2971419.0,59864958.0,0.1768589898618153
7,1993,Asia Pacific,855980.0,1010749.0,1167016.0,1094295.0,1116039.0,1259364.0,1207058.0,1266067.0,1409681.0,1205876.0,1261237.0,1314929.0,14168291.0,3033745.0,3469698.0,3882806.0,3782042.0,77309681.0,0.1832667114484666
8,1994,Asia Pacific,1282828.0,1262962.0,1543314.0,1460412.0,1515274.0,1733660.0,1537993.0,1645354.0,1857564.0,1672517.0,1752811.0,1909684.0,19174373.0,4089104.0,4709346.0,5040911.0,5335012.0,101878593.0,0.1882080664384519
9,1995,Asia Pacific,1842393.0,2043788.0,2469688.0,2285955.0,2408738.0,2821276.0,2432135.0,2572269.0,2749308.0,2570824.0,2669079.0,2674418.0,29539871.0,6355869.0,7515969.0,7753712.0,7914321.0,144403681.0,0.20456452907180392
10,1996,Asia Pacific,2412289.0,2204552.0,2623579.0,2190414.0,2101610.0,2440959.0,2002191.0,2079751.0,2478693.0,2197499.0,2292074.0,2526581.0,27550192.0,7240420.0,6732983.0,6560635.0,7016154.0,131966432.0,0.20876666575330308
11,1997,Asia Pacific,1952130.0,2038418.0,2984934.0,2165731.0,2432448.0,2797763.0,2397599.0,2566652.0,3097224.0,2533531.0,2569883.0,2647733.0,30184046.0,6975482.0,7395942.0,8061475.0,7751147.0,137203120.0,0.21999533246765818
12,1998,Asia Pacific,2019984.0,2272918.0,2698388.0,2314450.0,2037949.0,2431241.0,2109965.0,2241523.0,2790774.0,2507198.0,2605070.0,2823332.0,28852792.0,6991290.0,6783640.0,7142262.0,7935600.0,125611999.0,0.22969773771373544
13,1999,Asia Pacific,2476532.0,2363997.0,2989220.0,2628275.0,2716116.0,3007709.0,2780811.0,2989192.0,3827276.0,3397875.0,3791692.0,4215605.0,37184300.0,7829749.0,8352100.0,9597279.0,11405172.0,149378551.0,0.2489266347214735
14,2000,Asia Pacific,3550964.0,3441499.0,4468914.0,3735897.0,3953033.0,5093919.0,4221957.0,4594272.0,5291625.0,3924623.0,4111899.0,4875379.0,51263981.0,11461377.0,12782849.0,14107854.0,12911901.0,204393623.0,0.250810080312535
15,2001,Asia Pacific,2715752.0,3280120.0,4278414.0,3061114.0,2855898.0,3743768.0,2711531.0,3031622.0,3986521.0,3103773.0,3288306.0,3763262.0,39820081.0,10274286.0,9660780.0,9729674.0,10155341.0,138962610.0,0.28655248343421297
16,2002,Asia Pacific,3146515.0,3309197.0,4812701.0,3787661.0,3883881.0,4838755.0,4065451.0,4228547.0,5241478.0,4195297.0,4598607.0,5047626.0,51155716.0,11268413.0,12510297.0,13535476.0,13841530.0,140713320.0,0.36354565438438946
17,2003,Asia Pacific,3931682.0,3928697.0,5436984.0,4236839.0,4351842.0,5554289.0,4657393.0,5381795.0,6822043.0,5710950.0,6050194.0,6779910.0,62842618.0,13297363.0,14142970.0,16861231.0,18541054.0,166425522.0,0.3776020483204493
18,2004,Asia Pacific,5361597.0,6287404.0,7730699.0,6689747.0,7275021.0,8806293.0,6856932.0,7349988.0,9179552.0,7212937.0,7721612.0,8309664.0,88781446.0,19379700.0,22771061.0,23386472.0,23244213.0,213026836.0,0.4167617923968978
19,2005,Asia Pacific,7489572.0,7232398.0,9000741.0,7437040.0,7657779.0,9295174.0,7859520.0,8850313.0,10648215.0,8435154.0,9065932.0,10419504.0,103391342.0,23722711.0,24389993.0,27358048.0,27920590.0,227484137.0,0.4544991284381293
20,2006,Asia Pacific,7829065.0,8157558.0,10832046.0,8068809.0,8953939.0,10884068.0,8415451.0,9384896.0,12248218.0,9376916.0,10754375.0,11576401.0,116481742.0,26818669.0,27906816.0,30048565.0,31707692.0,247716193.0,0.4702225582806369
21,2007,Asia Pacific,9139154.0,8391316.0,11743325.0,8805648.0,8810187.0,11216491.0,9604650.0,10593623.0,12832026.0,10150963.0,10704182.0,11500657.0,123492222.0,29273795.0,28832326.0,33030299.0,32355802.0,255645338.0,0.4830607237594139
22,2008,Asia Pacific,9256369.0,8667192.0,12196335.0,9081676.0,10269700.0,13189908.0,10557193.0,11425022.0,14066556.0,9413586.0,8217419.0,7633778.0,123974734.0,30119896.0,32541284.0,36048771.0,25264783.0,248602812.0,0.49868596820216177
23,2009,Asia Pacific,5918868.0,6797439.0,9198839.0,8891834.0,8773281.0,10277822.0,10184808.0,10449917.0,13021470.0,11707929.0,11153337.0,13252885.0,119628429.0,21915146.0,27942937.0,33656195.0,36114151.0,226313366.0,0.528596393197563
24,2010,Asia Pacific,12171535.0,11035895.0,14640439.0,12955575.0,12869510.0,14414553.0,12971586.0,13508303.0,15519120.0,12585120.0,12829391.0,14524184.0,160025211.0,37847869.0,40239638.0,41999009.0,39938695.0,298315115.0,0.5364301135059818
25,2011,Asia Pacific,13521958.0,11612881.0,15765605.0,13094683.0,13092604.0,14828599.0,12961345.0,13647523.0,16201166.0,12670308.0,12497128.0,14136399.0,164030199.0,40900444.0,41015886.0,42810034.0,39303835.0,299521338.0,0.5476411133019178
26,2012,Asia Pacific,11261449.0,11848252.0,14631027.0,13446794.0,13098689.0,14885837.0,13221948.0,13107343.0,15555596.0,13751063.0,13525470.0,14651116.0,162984584.0,37740728.0,41431320.0,41884887.0,41927649.0,291562116.0,0.5590046684940372
27,2013,Asia Pacific,12992692.0,12007921.0,15339677.0,13789775.0,14391376.0,15494377.0,14299285.0,14710256.0,16499559.0,14443779.0,14548986.0,15892012.0,174409695.0,40340290.0,43675528.0,45509100.0,44884777.0,305583864.0,0.5707424885497226
28,2014,Asia Pacific,14161499.0,14827733.0,16540479.0,14931593.0,15889112.0,17297567.0,15942850.0,16348810.0,18512281.0,16302073.0,16553730.0,16922103.0,194229830.0,45529711.0,48118272.0,50803941.0,49777906.0,335842917.0,0.5783353471766087
29,2015,Asia Pacific,15935413.0,15381536.0,17870302.0,16296025.0,17058439.0,17850651.0,15748025.0,16812683.0,18532118.0,16622238.0,16445700.0,16517343.0,201070473.0,49187251.0,51205115.0,51092826.0,49585281.0,335167861.0,0.5999097658113467
30,2016,Asia Pacific,15890315.0,15344756.0,16785738.0,15468881.0,15969043.0,17292101.0,16916336.0,17805793.0,19822931.0,18366031.0,18761053.0,19971700.0,208394678.0,48020809.0,48730025.0,54545060.0,57098784.0,338930855.0,0.6148589747014919
31,2017,Asia Pacific,17910613.0,18574419.0,20757115.0,18685422.0,19578155.0,21436898.0,20326779.0,21423174.0,22863300.0,21676833.0,22328251.0,23259670.0,248820629.0,57242147.0,59700475.0,64613253.0,67264754.0,412220944.0,0.6036098665573868
32,2018,Asia Pacific,21495743.0,20927966.0,24172691.0,22439029.0,23688146.0,25597494.0,23176808.0,25889302.0,26350858.0,23418727.0,23703721.0,22002285.0,282862770.0,66596400.0,71724669.0,75416968.0,69124733.0,468778285.0,0.6034041657880974
33,2019,Asia Pacific,19007603.0,19414999.0,22432963.0,19223142.0,20983632.0,21964542.0,20581471.0,22839839.0,24293197.0,21890193.0,22384365.0,22862645.0,257878591.0,60855565.0,62171316.0,67714507.0,67137203.0,412306976.0,0.6254528931375636
34,2020,Asia Pacific,19962835.0,20263191.0,23396261.0,19768480.0,21204500.0,22784216.0,21264572.0,23535404.0,26366866.0,23591528.0,23968190.0,24926381.0,271032424.0,63622287.0,63757196.0,71166842.0,72486099.0,440389358.0,0.6154381777772205
35,2021,Asia Pacific,25335323.0,24375852.0,28210096.0,26991977.0,27965749.0,29152469.0,27954754.0,30764843.0,30775278.0,28618835.0,31583574.0,31238491.0,342967241.0,77921271.0,84110195.0,89494875.0,91440900.0,555892514.0,0.616966827871332
36,2022,Asia Pacific,28400151.0,30343718.0,32884730.0,28333137.0,31122857.0,29406183.0,25228516.0,26987299.0,26985699.0,24097271.0,23626157.0,23521171.0,330936889.0,91628599.0,88862177.0,79201514.0,71244599.0,574084194.0,0.5764605478756658
37,2023,Asia Pacific,9002229.0,9394842.0,10425757.0,8805631.0,9945467.0,12297417.0,10750459.0,11474873.0,,,,,82096675.0,28822828.0,31048515.0,22225332.0,0.0,,
