,Year,Region,January,February,March,April,May,June,July,August,September,October,November,December,Total Year (Region),Q1,Q2,Q3,Q4,Total Year (Worldwide),Total Year Percentage
0,1986,Europe,346467.0,401765.0,461912.0,436798.0,446171.0,472555.0,439444.0,426172.0,507467.0,493835.0,431645.0,479532.0,5343763.0,1210144.0,1355524.0,1373083.0,1405012.0,26355359.0,0.20275811837736682
1,1987,Europe,446216.0,460982.0,551635.0,483195.0,522679.0,542275.0,459319.0,456098.0,587787.0,538082.0,559245.0,580580.0,6188093.0,1458833.0,1548149.0,1503204.0,1677907.0,32530452.0,0.1902246239923134
2,1988,Europe,549355.0,619132.0,755057.0,646877.0,666687.0,766987.0,586428.0,608248.0,751428.0,685134.0,732369.0,736179.0,8103881.0,1923544.0,2080551.0,1946104.0,2153682.0,45004809.0,0.18006700128424052
3,1989,Europe,711490.0,756220.0,869481.0,770203.0,715541.0,809640.0,640689.0,635671.0,846311.0,733167.0,710850.0,741299.0,8940562.0,2337191.0,2295384.0,2122671.0,2185316.0,48762926.0,0.18334752922742986
4,1990,Europe,700723.0,743146.0,900981.0,744998.0,772192.0,891609.0,738098.0,727183.0,912755.0,819633.0,808928.0,838388.0,9598634.0,2344850.0,2408799.0,2378036.0,2466949.0,50518932.0,0.19000073081513283
5,1991,Europe,807995.0,874934.0,997469.0,806641.0,816393.0,952982.0,699730.0,725496.0,977120.0,802799.0,828180.0,825121.0,10114860.0,2680398.0,2576016.0,2402346.0,2456100.0,54607454.0,0.18522855872386945
6,1992,Europe,865778.0,865850.0,1007745.0,848457.0,867857.0,1025466.0,834451.0,883351.0,1188526.0,1006966.0,1020525.0,1055456.0,11470428.0,2739373.0,2741780.0,2906328.0,3082947.0,59864958.0,0.1916050454758525
7,1993,Europe,936794.0,1048188.0,1317355.0,1105437.0,1174687.0,1351115.0,1085722.0,1110055.0,1480152.0,1276641.0,1339624.0,1373228.0,14598998.0,3302337.0,3631239.0,3675929.0,3989493.0,77309681.0,0.18883790246140067
8,1994,Europe,1291004.0,1357721.0,1589355.0,1462097.0,1478946.0,1807893.0,1398823.0,1509781.0,2025441.0,1870808.0,1939709.0,2004707.0,19736285.0,4238080.0,4748936.0,4934045.0,5815224.0,101878593.0,0.19372357252715494
9,1995,Europe,1887830.0,2006521.0,2485883.0,2139874.0,2190945.0,2613929.0,2064455.0,2229756.0,2851230.0,2492094.0,2644315.0,2591838.0,28198670.0,6380234.0,6944748.0,7145441.0,7728247.0,144403681.0,0.19527667026715198
10,1996,Europe,2452042.0,2545294.0,2824629.0,2207867.0,2073280.0,2310978.0,1746097.0,1832233.0,2571859.0,2296102.0,2265380.0,2436228.0,27561989.0,7821965.0,6592125.0,6150189.0,6997710.0,131966432.0,0.20885605969857546
11,1997,Europe,2119212.0,2213728.0,2791913.0,2179595.0,2174539.0,2755834.0,2000471.0,2095908.0,3052165.0,2461922.0,2554419.0,2689093.0,29088799.0,7124853.0,7109968.0,7148544.0,7705434.0,137203120.0,0.21201266414349762
12,1998,Europe,2296305.0,2315488.0,2728293.0,2202143.0,2081210.0,2585314.0,1984717.0,2122412.0,2998842.0,2621688.0,2684199.0,2785653.0,29406264.0,7340086.0,6868667.0,7105971.0,8091540.0,125611999.0,0.2341039409778042
13,1999,Europe,2294293.0,2412757.0,2890815.0,2149507.0,2206092.0,2623049.0,2233808.0,2467182.0,3276095.0,2791699.0,3133424.0,3402553.0,31881274.0,7597865.0,6978648.0,7977085.0,9327676.0,149378551.0,0.21342604936635112
14,2000,Europe,2949840.0,3083193.0,3858674.0,3060428.0,3275103.0,4040056.0,3007787.0,3613962.0,4244418.0,3525230.0,3634755.0,4015491.0,42308937.0,9891707.0,10375587.0,10866167.0,11175476.0,204393623.0,0.20699734355215182
15,2001,Europe,3052845.0,2965906.0,3819818.0,2439495.0,2196459.0,2870184.0,1692238.0,1768516.0,2822728.0,2014167.0,2119288.0,2454622.0,30216266.0,9838569.0,7506138.0,6283482.0,6588077.0,138962610.0,0.21744169888576503
16,2002,Europe,1806390.0,2030798.0,2932907.0,1882454.0,1899398.0,2657578.0,1906951.0,2077459.0,2964911.0,2335639.0,2525318.0,2768676.0,27788479.0,6770095.0,6439430.0,6949321.0,7629633.0,140713320.0,0.1974829319640813
