,Year,Region,January,February,March,April,May,June,July,August,September,October,November,December,Total Year (Region),Q1,Q2,Q3,Q4,Total Year (Worldwide),Total Year Percentage
0,1986,Japan,638547.0,750366.0,840215.0,838082.0,870515.0,922481.0,996881.0,914476.0,971103.0,949854.0,875638.0,882567.0,10450725.0,2229128.0,2631078.0,2882460.0,2708059.0,26355359.0,0.3965313088696686
1,1987,Japan,839651.0,885850.0,947246.0,937335.0,980361.0,1064083.0,1093292.0,1000056.0,1157494.0,1190420.0,1271073.0,1364929.0,12731790.0,2672747.0,2981779.0,3250842.0,3826422.0,32530452.0,0.39138066695169194
2,1988,Japan,1287746.0,1318583.0,1400992.0,1443163.0,1443800.0,1596692.0,1534711.0,1449729.0,1531053.0,1656425.0,1716893.0,1728988.0,18108775.0,4007321.0,4483655.0,4515493.0,5102306.0,45004809.0,0.40237422183038263
3,1989,Japan,1551335.0,1594165.0,1641383.0,1654175.0,1561323.0,1624493.0,1632158.0,1538493.0,1581367.0,1630395.0,1573962.0,1562514.0,19145763.0,4786883.0,4839991.0,4752018.0,4766871.0,48762926.0,0.3926294947928268
4,1990,Japan,1421004.0,1448870.0,1472713.0,1401811.0,1456389.0,1617484.0,1684396.0,1585911.0,1825002.0,1909542.0,1924936.0,1815059.0,19563117.0,4342587.0,4475684.0,5095309.0,5649537.0,50518932.0,0.3872432813900341
5,1991,Japan,1612391.0,1745898.0,1787181.0,1680403.0,1697557.0,1804178.0,1812379.0,1673650.0,1854049.0,1782817.0,1758915.0,1725581.0,20934999.0,5145470.0,5182138.0,5340078.0,5267313.0,54607454.0,0.38337255203291476
6,1992,Japan,1546622.0,1510697.0,1516198.0,1439648.0,1462557.0,1689422.0,1781775.0,1596386.0,1840636.0,1754525.0,1658238.0,1599414.0,19396118.0,4573517.0,4591627.0,5218797.0,5012177.0,59864958.0,0.3239978553062712
7,1993,Japan,1473117.0,1582069.0,1759146.0,1810633.0,1848633.0,2187141.0,2217725.0,2104810.0,2353363.0,2175919.0,2178841.0,2106991.0,23798388.0,4814332.0,5846407.0,6675898.0,6461751.0,77309681.0,0.307831925991261
8,1994,Japan,1898178.0,2033128.0,2308591.0,2255227.0,2268816.0,2565505.0,2631936.0,2468047.0,2768472.0,2742697.0,2806029.0,2659723.0,29406349.0,6239897.0,7089548.0,7868455.0,8208449.0,101878593.0,0.2886410985279312
9,1995,Japan,2518007.0,2763394.0,3166605.0,3381908.0,3323489.0,3811247.0,3592339.0,3273628.0,3422927.0,3378168.0,3432276.0,3602689.0,39666677.0,8448006.0,10516644.0,10288894.0,10413133.0,144403681.0,0.2746929768362345
