,Year,Region,January,February,March,April,May,June,July,August,September,October,November,December,Total Year (Region),Q1,Q2,Q3,Q4
0,1986,Worldwide,1645914.0,1901342.0,2206315.0,2120770.0,2202559.0,2377076.0,2330176.0,2225782.0,2490094.0,2342043.0,2171429.0,2341859.0,26355359.0,5753571.0,6700405.0,7046052.0,6855331.0
1,1987,Worldwide,2137656.0,2260390.0,2637236.0,2473992.0,2608030.0,2848086.0,2704127.0,2622547.0,3041825.0,2922192.0,3014031.0,3260340.0,32530452.0,7035282.0,7930108.0,8368499.0,9196563.0
2,1988,Worldwide,3076247.0,3251426.0,3710165.0,3520249.0,3608900.0,4084944.0,3690149.0,3690056.0,4062462.0,3956305.0,4130855.0,4223051.0,45004809.0,10037838.0,11214093.0,11442667.0,12310211.0
3,1989,Worldwide,3826364.0,4005703.0,4416458.0,4153340.0,3998334.0,4333979.0,3895708.0,3824785.0,4283975.0,4019312.0,3964095.0,4040873.0,48762926.0,12248525.0,12485653.0,12004468.0,12024280.0
4,1990,Worldwide,3601726.0,3782231.0,4270368.0,3816043.0,3986678.0,4442923.0,4135474.0,4151777.0,4742962.0,4564750.0,4520993.0,4503007.0,50518932.0,11654325.0,12245644.0,13030213.0,13588750.0
5,1991,Worldwide,4131548.0,4439625.0,4901397.0,4315408.0,4405483.0,4909077.0,4332817.0,4298246.0,5084706.0,4493109.0,4592019.0,4704019.0,54607454.0,13472570.0,13629968.0,13715769.0,13789147.0
6,1992,Worldwide,4415803.0,4416808.0,4978633.0,4434271.0,4563352.0,5307456.0,4878637.0,4839589.0,5859336.0,5234289.0,5329563.0,5607221.0,59864958.0,13811244.0,14305079.0,15577562.0,16171073.0
7,1993,Worldwide,4842686.0,5424957.0,6444981.0,5825711.0,6038358.0,7177428.0,6364959.0,6520724.0,7782563.0,6673859.0,6915895.0,7297560.0,77309681.0,16712624.0,19041497.0,20668246.0,20887314.0
8,1994,Worldwide,6667104.0,6989853.0,8216841.0,7686381.0,7777903.0,9158501.0,8031712.0,8449071.0,10076706.0,9272559.0,9461349.0,10090613.0,101878593.0,21873798.0,24622785.0,26557489.0,28824521.0
9,1995,Worldwide,9223414.0,10011824.0,12116918.0,11154547.0,11374222.0,13602149.0,11487787.0,12041368.0,13876115.0,12556058.0,13132217.0,13827062.0,144403681.0,31352156.0,36130918.0,37405270.0,39515337.0
